"","state_county","trump","biden","others"
"1181","kentucky,hopkins",15757,5439,316
"1182","kentucky,jackson",5453,605,55
"1183","kentucky,jefferson",150646,228358,7625
"1184","kentucky,jessamine",17096,8567,617
"1185","kentucky,johnson",8450,1608,134
"1186","kentucky,kenton",48129,32271,1798
"1187","kentucky,knott",4780,1412,60
"1188","kentucky,knox",11012,2114,147
"1189","kentucky,larue",5685,1504,112
"1190","kentucky,laurel",23237,4475,399
"1191","kentucky,lawrence",5633,1238,84
"1192","kentucky,lee",2273,481,47
"1193","kentucky,leslie",4321,446,46
"1194","kentucky,letcher",7226,1799,110
"1195","kentucky,lewis",4986,823,74
"1196","kentucky,lincoln",8489,2254,171
"1197","kentucky,livingston",4010,939,55
"1198","kentucky,logan",9067,3094,189
"1199","kentucky,lyon",3100,1092,36
"1200","kentucky,mccracken",21820,11195,534
"1201","kentucky,mccreary",5664,725,49
"1202","kentucky,mclean",3633,1074,75
"1203","kentucky,madison",27356,15581,1020
"1204","kentucky,magoffin",4174,1214,59
"1205","kentucky,marion",6113,2722,93
"1206","kentucky,marshall",13297,4071,235
"1207","kentucky,martin",3496,403,37
"1208","kentucky,mason",5477,2362,119
"1209","kentucky,meade",10185,3632,296
"1210","kentucky,menifee",2311,750,41
"1211","kentucky,mercer",8506,3033,196
"1212","kentucky,metcalfe",3959,975,78
"1213","kentucky,monroe",4628,657,45
"1214","kentucky,montgomery",8993,3630,219
"1215","kentucky,morgan",4301,1175,68
"1216","kentucky,muhlenberg",10497,3545,193
"1217","kentucky,nelson",15703,7188,365
"1218","kentucky,nicholas",2408,955,33
"1219","kentucky,ohio",8582,2404,143
"1220","kentucky,oldham",22654,14505,817
"1221","kentucky,owen",4292,1098,68
"1222","kentucky,owsley",1671,216,9
"1223","kentucky,pendleton",5515,1322,88
"1224","kentucky,perry",8129,2356,141
"1225","kentucky,pike",20284,4866,245
"1226","kentucky,powell",4041,1367,97
"1227","kentucky,pulaski",25442,5666,449
"1228","kentucky,robertson",884,253,9
"1229","kentucky,rockcastle",6577,1134,73
"1230","kentucky,rowan",5994,3880,191
"1231","kentucky,russell",7519,1331,105
"1232","kentucky,scott",17767,10567,635
"1233","kentucky,shelby",15055,8077,418
"1234","kentucky,simpson",5888,2681,163
"1235","kentucky,spencer",8737,2530,166
"1236","kentucky,taylor",9376,2963,178
"1237","kentucky,todd",4062,1205,96
"1238","kentucky,trigg",5487,1791,98
"1239","kentucky,trimble",3227,1012,81
"1240","kentucky,union",4965,1529,83
"1241","kentucky,warren",31791,22479,1131
"1242","kentucky,washington",4482,1644,99
"1243","kentucky,wayne",7430,1700,110
"1244","kentucky,webster",4506,1412,75
"1245","kentucky,whitley",12567,2552,237
"1246","kentucky,wolfe",2097,839,43
"1247","kentucky,woodford",8362,6530,319
"1248","louisiana,acadia",22596,5443,386
"1249","louisiana,allen",7574,2108,128
"1250","louisiana,ascension",40687,20399,1239
"1251","louisiana,assumption",7271,3833,131
"1252","louisiana,avoyelles",12028,4979,285
"1253","louisiana,beauregard",13575,2542,240
"1254","louisiana,bienville",3891,3067,92
"1255","louisiana,bossier",38074,15662,919
"1256","louisiana,caddo",48021,55110,1781
"1257","louisiana,calcasieu",55066,25982,1615
"1258","louisiana,caldwell",3976,745,41
"1259","louisiana,cameron",3671,324,44
"1260","louisiana,catahoula",3541,1269,48
"1261","louisiana,claiborne",3770,2731,79
"1262","louisiana,concordia",5550,3177,101
"1263","louisiana,desoto",9112,5457,167
"1264","louisiana,east baton rouge",88420,115577,4185
"1265","louisiana,east carroll",1080,1900,56
"1266","louisiana,east feliciana",6064,4280,165
"1267","louisiana,evangeline",11053,4158,201
"1268","louisiana,franklin",6970,2658,92
"1269","louisiana,grant",8117,1157,118
"1270","louisiana,iberia",21251,11027,435
"1271","louisiana,iberville",7893,8514,312
"1272","louisiana,jackson",5394,2143,95
"1273","louisiana,jefferson",105949,84477,3307
"1274","louisiana,jeff davis",11423,3208,210
"1275","louisiana,lafayette",72519,39685,2317
"1276","louisiana,lafourche",36024,8672,692
"1277","louisiana,lasalle",6378,638,61
"1278","louisiana,lincoln",11311,7559,405
"1279","louisiana,livingston",54877,9249,1104
"1280","louisiana,madison",1930,2654,86
"1281","louisiana,morehouse",6510,4946,118
"1282","louisiana,natchitoches",9358,6896,300
"1283","louisiana,orleans",26664,147854,3301
"1284","louisiana,ouachita",42255,25913,998
"1285","louisiana,plaquemines",7412,3414,188
"1286","louisiana,pointe coupee",7503,4683,185
"1287","louisiana,rapides",38347,19475,1043
"1288","louisiana,red river",2413,1644,75
"1289","louisiana,richland",6607,3225,108
"1290","louisiana,sabine",8776,1731,89
"1291","louisiana,st. bernard",11179,6151,320
"1292","louisiana,st. charles",18233,9800,484
"1293","louisiana,st. helena",2714,3346,98
"1294","louisiana,st. james",5954,6510,126
"1295","louisiana,st. john the baptist",7538,13582,312
"1296","louisiana,st. landry",23171,17372,611
"1297","louisiana,st. martin",18203,8439,396
"1298","louisiana,st. mary",14811,8055,320
"1299","louisiana,st. tammany",99666,37746,2698
"1300","louisiana,tangipahoa",37806,18887,968
"1301","louisiana,tensas",1197,1329,28
"1302","louisiana,terrebonne",34339,11198,703
"1303","louisiana,union",8407,2654,140
"1304","louisiana,vermilion",21930,5009,385
"1305","louisiana,vernon",14107,2898,263
"1306","louisiana,washington",13307,5970,236
"1307","louisiana,webster",11830,6172,214
"1308","louisiana,west baton rouge",7684,6200,213
"1309","louisiana,west carroll",4317,710,25
"1310","louisiana,west feliciana",3863,2298,107
"1311","louisiana,winn",4619,1543,63
"1312","maine,abbot",451,121,9
"1313","maine,acton",801,651,147
"1314","maine,addison",224,235,19
"1315","maine,albion",948,385,54
"1316","maine,alexander",95,73,27
"1317","maine,alfred",174,983,33
"1318","maine,allagash",293,74,47
"1319","maine,alna99% in",115,320,99
"1320","maine,alton99.8% in",96,169,48
"1321","maine,amherst",293,64,144
"1322","maine,amity",796,27,30
"1323","maine,andover",407,223,182
"1324","maine,anson",104,398,34
"1325","maine,appleton99.7% in",1347,478,388
"1326","maine,arrowsic99.7% in",376,260,315
"1327","maine,arundel",332,1405,739
"1328","maine,ashland",122,231,659
"1329","maine,athens",5409,167,74
"1330","maine,atkinson",4155,49,52
"1331","maine,auburn",42,6482,654
"1332","maine,augusta",164,5248,184
"1333","maine,aurora",421,29,1238
"1334","maine,avon",623,96,351
"1335","maine,baileyville",6065,239,8
"1336","maine,baldwin",804,350,317
"1337","maine,bangor99.9% in",68,9452,11
"1338","maine,bar harbor99.8% in",1540,2678,213
"1339","maine,baring plt.",191,42,64
"1340","maine,bath",60,3421,208
"1341","maine,beals",36,98,154
"1342","maine,beaver cove",1259,59,204
"1343","maine,beddington",1166,13,131
"1344","maine,belfast99.6% in",319,2847,688
"1345","maine,belgrade",984,994,186
"1346","maine,belmont",2229,259,554
"1347","maine,benton",749,607,104
"1348","maine,berwick",3705,1999,54
"1349","maine,bethel",349,1006,88
"1350","maine,biddeford",298,7022,147
"1351","maine,bingham",624,215,165
"1352","maine,blaine",922,97,97
"1353","maine,blue hill",545,1310,189
"1354","maine,boothbay99.8% in",1079,1229,38
"1355","maine,boothbay harbor99.6% in",856,814,45
"1356","maine,bowdoin",76,755,160
"1357","maine,bowdoinham",485,1123,18
"1358","maine,bowerbank99.2% in",485,41,479
"1359","maine,bradford",185,188,9
"1360","maine,bradley99.8% in",2568,378,220
"1361","maine,bremen99.8% in",214,367,20
"1362","maine,brewer",1528,2533,110
"1363","maine,bridgewater",29,77,53
"1364","maine,bridgton",808,1656,117
"1365","maine,brighton plt.",189,16,29
"1366","maine,bristol99.9% in",317,1275,588
"1367","maine,brooklin99% in",219,426,120
"1368","maine,brooks99.8% in",466,246,765
"1369","maine,brooksville99.1% in",467,450,56
"1370","maine,brownfield",3733,468,225
"1371","maine,brownville",636,280,184
"1372","maine,brunswick99.9% in",1481,9728,36
"1373","maine,buckfield",145,436,373
"1374","maine,bucksport",389,1278,9
"1375","maine,burlington99.5% in",2686,56,177
"1376","maine,burnham",58,234,59
"1377","maine,buxton99.8% in",856,2416,120
"1378","maine,byron",176,31,197
"1379","maine,calais",832,626,30
"1380","maine,cambridge98.8% in",749,72,258
"1381","maine,camden99.7% in",374,2931,30
"1382","maine,canaan",1462,384,120
"1383","maine,canton",36,154,81
"1384","maine,cape elizabeth99.6% in",2262,5349,48
"1385","maine,caratunk",1183,24,2
"1386","maine,caribou",164,1702,78
"1387","maine,carmel",73,560,18
"1388","maine,carrabassett valley98.7% in",214,348,162
"1389","maine,carroll plt.98.9% in",0,14,32
"1390","maine,carthage",1184,88,11
"1391","maine,cary plt.",136,0,24
"1392","maine,casco",130,1036,15
"1393","maine,castine",73,346,65
"1394","maine,castle hill98.7% in",177,97,21
"1395","maine,caswell98.5% in",580,59,78
"1396","maine,chapman",145,97,51
"1397","maine,charleston99.5% in",917,164,92
"1398","maine,charlotte98.6% in",417,68,75
"1399","maine,chelsea99.9% in",261,605,204
"1400","maine,cherryfield",460,212,48
"1401","maine,chester",1395,61,108
"1402","maine,chesterville99% in",324,314,20
"1403","maine,china99.8% in",1098,1107,46
"1404","maine,clifton",156,187,25
"1405","maine,clinton99.7% in",204,641,42
"1406","maine,columbia",60,67,128
"1407","maine,columbia falls",44,119,92
"1408","maine,cooper99% in",847,33,69
"1409","maine,coplin plt.99.1% in",1147,59,62
"1410","maine,corinna",478,363,18
"1411","maine,corinth",471,390,105
"1412","maine,cornish",36,429,18
"1413","maine,cornville99.2% in",45,283,274
"1414","maine,cranberry isles98.6% in",120,95,41
"1415","maine,crawford",1800,18,27
"1416","maine,crystal",520,39,46
"1417","maine,cumberland99.3% in",218,4074,39
"1418","maine,cushing99.7% in",30,424,71
"1419","maine,cutler",104,86,4
"1420","maine,cyr plt.98.2% in",463,26,139
"1421","maine,dallas plt.98.6% in",314,98,27
"1422","maine,damariscotta99.6% in",756,980,102
"1423","maine,danforth",35,98,30
"1424","maine,dayton",582,582,81
"1425","maine,deblois",496,5,21
"1426","maine,dedham",392,545,80
"1427","maine,deer isle99.8% in",19,806,37
"1428","maine,denmark",214,404,107
"1429","maine,dennistown plt.",276,5,144
"1430","maine,dennysville98.9% in",1169,137,74
"1431","maine,detroit",803,151,139
"1432","maine,dexter99.6% in",446,617,168
"1433","maine,dixfield",1356,460,0
"1434","maine,dixmont99.7% in",580,265,196
"1435","maine,dover-foxcroft",13,914,18
"1436","maine,dresden",1333,542,26
"1437","maine,drew plt.",106,5,33
"1438","maine,durham99.5% in",256,1361,50
"1439","maine,dyer brook",148,40,76
"1440","maine,eagle lake99.6% in",528,197,36
"1441","maine,eastbrook99.1% in",567,65,57
"1442","maine,east machias99.9% in",467,270,134
"1443","maine,east millinocket",339,370,164
"1444","maine,easton",903,241,189
"1445","maine,eastport99.6% in",348,474,201
"1446","maine,eddington",66,503,385
"1447","maine,edgecomb",1788,510,37
"1448","maine,edinburg99.1% in",2359,36,66
"1449","maine,eliot",374,2839,82
"1450","maine,ellsworth99.7% in",585,2274,156
"1451","maine,embden",495,181,225
"1452","maine,enfield",255,279,274
"1453","maine,etna",366,216,548
"1454","maine,eustis99.6% in",1845,173,150
"1455","maine,exeter99% in",2672,190,296
"1456","maine,fairfield",768,1428,122
"1457","maine,falmouth99.7% in",1541,6147,83
"1458","maine,farmingdale99.5% in",421,903,135
"1459","maine,farmington",985,2225,87
"1460","maine,fayette99.8% in",1141,388,201
"1461","maine,fort fairfield",441,674,48
"1462","maine,fort kent",459,1069,354
"1463","maine,frankfort99.1% in",236,220,14
"1464","maine,franklin",1675,381,87
"1465","maine,freedom",19,201,144
"1466","maine,freeport99.9% in",361,4327,99
"1467","maine,frenchboro93.9% in",477,12,234
"1468","maine,frenchville99.7% in",813,235,54
"1469","maine,friendship99.8% in",1471,309,51
"1470","maine,fryeburg99.9% in",42,1060,152
"1471","maine,gardiner99.9% in",409,1694,17
"1472","maine,garfield plt.",294,11,524
"1473","maine,garland",66,177,27
"1474","maine,georgetown",1612,525,673
"1475","maine,gilead",1,48,51
"1476","maine,glenburn99.9% in",4275,1108,193
"1477","maine,glenwood plt.",612,0,11
"1478","maine,gorham99.7% in",119,6460,352
"1479","maine,gouldsboro",60,477,78
"1480","maine,grand isle",2557,107,86
"1481","maine,grand lake stream plt99% in",25,37,114
"1482","maine,gray",499,2653,71
"1483","maine,great pond",1663,18,108
"1484","maine,greenbush",644,193,33
"1485","maine,greene99.9% in",242,914,94
"1486","maine,greenville",466,486,96
"1487","maine,greenwood",445,278,35
"1488","maine,guilford",61,248,369
"1489","maine,hallowell99.9% in",34,1277,79
"1490","maine,hamlin",2265,48,134
"1491","maine,hammond97.9% in",778,11,26
"1492","maine,hampden99.8% in",92,2451,192
"1493","maine,hancock",326,659,35
"1494","maine,hanover",1423,101,58
"1495","maine,harmony",363,151,43
"1496","maine,harpswell99.6% in",796,2379,63
"1497","maine,harrington99.8% in",428,168,60
"1498","maine,harrison99.8% in",610,741,75
"1499","maine,hartford",50,278,207
"1500","maine,hartland",427,266,142
"1501","maine,haynesville",2427,12,18
"1502","maine,hebron",0,323,93
"1503","maine,hermon",71,1447,99
"1504","maine,hersey",528,8,143
"1505","maine,highland plt.",613,42,252
"1506","maine,hiram",1200,373,53
"1507","maine,hodgdon",1535,185,111
"1508","maine,holden99.7% in",443,871,83
"1509","maine,hollis99.5% in",1639,1268,12
"1510","maine,hope",390,653,45
"1511","maine,houlton",484,1046,24
"1512","maine,howland",54,221,27
"1513","maine,hudson",69,120,56
"1514","maine,penobscot nation vot dst99.3% in",253,237,18
"1515","maine,indian township vtng dst",306,191,27
"1516","maine,industry99.4% in",9,232,79
"1517","maine,island falls",120,132,75
"1518","maine,isle au haut98.5% in",387,54,147
"1519","maine,islesboro",191,309,163
"1520","maine,jackman",1375,144,25
"1521","maine,jackson99.7% in",951,134,244
"1522","maine,jay",212,1220,96
"1523","maine,jefferson",447,679,375
"1524","maine,jonesboro99.4% in",514,124,54
"1525","maine,jonesport",2682,243,282
"1526","maine,kenduskeag",926,242,6
"1527","maine,kennebunk99.8% in",444,5368,354
"1528","maine,kennebunkport99.3% in",0,1777,37
"1529","maine,kingfield",1809,407,26
"1530","maine,kingsbury plt.",315,0,33
"1531","maine,kittery",248,4418,126
"1532","maine,knox99% in",71,147,50
"1533","maine,lagrange",38,101,311
"1534","maine,lake view plt.",576,40,51
"1535","maine,lakeville",2178,29,705
"1536","maine,lamoine",350,616,131
"1537","maine,lebanon",818,1232,1035
"1538","maine,lee",1149,140,51
"1539","maine,leeds",7232,505,201
"1540","maine,levant",308,477,87
"1541","maine,lewiston",948,9616,156
"1542","maine,liberty",423,265,211
"1543","maine,limerick",1357,813,17
"1544","maine,limestone",1723,325,235
"1545","maine,limington99.9% in",20,856,66
"1546","maine,lincoln",551,813,382
"1547","maine,lincoln plt.",411,12,164
"1548","maine,lincolnville99.9% in",2853,1059,83
"1549","maine,linneus",1260,93,77
"1550","maine,lisbon99.8% in",381,2190,100
"1551","maine,litchfield",783,850,20
"1552","maine,littleton",809,141,44
"1553","maine,livermore",53,573,20
"1554","maine,livermore falls99.9% in",353,540,117
"1555","maine,long island",193,133,66
"1556","maine,lovell",406,399,190
"1557","maine,lowell99.6% in",169,56,57
"1558","maine,lubec99.7% in",1537,457,66
"1559","maine,ludlow",461,78,32
"1560","maine,lyman",337,1315,43
"1561","maine,machias99.3% in",30,395,138
"1562","maine,machiasport",940,216,30
"1563","maine,macwahoc plt.",1411,12,102
"1564","maine,madawaska",10,1143,51
"1565","maine,madison",810,928,33
"1566","maine,magalloway plt.",726,6,17
"1567","maine,manchester99.8% in",191,832,12
"1568","maine,mapleton",208,406,19
"1569","maine,mariaville",511,113,0
"1570","maine,marshfield",85,102,91
"1571","maine,mars hill",14,222,15
"1572","maine,masardis98.4% in",257,34,123
"1573","maine,matinicus isle plt.98% in",48,36,15
"1574","maine,mattawamkeag",989,120,30
"1575","maine,maxfield98.6% in",70,17,38
"1576","maine,mechanic falls",112,650,70
"1577","maine,meddybemps98.1% in",550,28,20
"1578","maine,medford",283,46,123
"1579","maine,medway",91,195,64
"1580","maine,mercer",676,183,180
"1581","maine,merrill",391,43,123
"1582","maine,mexico",922,556,84
"1583","maine,milbridge",1310,326,212
"1584","maine,milford99.8% in",781,861,45
"1585","maine,millinocket",1040,1049,209
"1586","maine,milo",7,410,47
"1587","maine,minot99.6% in",1397,676,78
"1588","maine,monhegan plt.",266,51,12
"1589","maine,monmouth",289,1079,64
"1590","maine,monroe99.8% in",335,308,18
"1591","maine,monson",266,173,6
"1592","maine,monticello",107,96,33
"1593","maine,montville99.4% in",27,346,71
"1594","maine,moose river",355,13,18
"1595","maine,moro plt.",199,2,141
"1596","maine,morrill",81,242,48
"1597","maine,moscow",381,74,141
"1598","maine,mount chase",560,39,8
"1599","maine,mount desert99.2% in",1389,1066,110
"1600","maine,mount vernon",16,576,45
"1601","maine,naples",599,1039,159
"1602","maine,nashville plt.",93,7,53
"1603","maine,newburgh99.4% in",403,366,285
"1604","maine,new canada",575,61,34
"1605","maine,newcastle99.3% in",1757,923,95
"1606","maine,newfield",253,362,94
"1607","maine,new gloucester99.8% in",1118,1720,14
"1608","maine,new limerick",266,115,85
"1609","maine,newport",119,584,46
"1610","maine,new portland99% in",528,185,84
"1611","maine,newry",178,163,111
"1612","maine,new sharon",293,391,126
"1613","maine,new sweden91.5% in",559,137,206
"1614","maine,new vineyard",1128,154,72
"1615","maine,nobleboro99.6% in",1557,729,120
"1616","maine,norridgewock",81,687,150
"1617","maine,north berwick",85,1465,153
"1618","maine,northfield",408,38,284
"1619","maine,north haven99.1% in",1018,221,67
"1620","maine,northport",1363,670,324
"1621","maine,north yarmouth99.3% in",286,1862,213
"1622","maine,norway99.8% in",1853,1400,243
"1623","maine,oakfield",311,111,511
"1624","maine,oakland",2368,1681,261
"1625","maine,ogunquit",1668,731,126
"1626","maine,old orchrd bch",68,3708,531
"1627","maine,old town99.9% in",693,2365,149
"1628","maine,orient",1200,22,39
"1629","maine,orland99.8% in",1405,691,42
"1630","maine,orono99.8% in",31,3728,60
"1631","maine,orrington99.9% in",323,1089,114
"1632","maine,osborn",605,10,33
"1633","maine,otis99.8% in",454,153,146
"1634","maine,otisfield",22,535,127
"1635","maine,owl's head98.9% in",1456,584,72
"1636","maine,oxbow plt.",537,13,188
"1637","maine,oxford99.5% in",800,807,24
"1638","maine,palermo99.4% in",1494,381,56
"1639","maine,palmyra",333,325,23
"1640","maine,paris",564,1280,66
"1641","maine,parkman",165,148,13
"1642","maine,parsonsfield",362,469,54
"1643","maine,passadumkeag",267,55,42
"1644","maine,patten",306,149,41
"1645","maine,pembroke",146,208,84
"1646","maine,penobscot99.4% in",258,512,83
"1647","maine,perham",561,62,135
"1648","maine,perry99.6% in",385,206,141
"1649","maine,peru99.6% in",745,322,103
"1650","maine,phillips",1156,252,25
"1651","maine,phippsburg99.9% in",1034,794,84
"1652","maine,pittsfield99.6% in",35,817,139
"1653","maine,pittston99.7% in",40,691,205
"1654","maine,pleasant point votng dst",505,196,2094
"1655","maine,pleasant ridge plt.98.1% in",1906,12,101
"1656","maine,plymouth99.9% in",160,230,1662
"1657","maine,poland",521,1513,57
"1658","maine,portage lake98.9% in",6486,99,230
"1659","maine,porter",489,328,53
"1660","maine,portland99.9% in",2266,33786,47
"1661","maine,pownal99.7% in",340,685,54
"1662","maine,presque isle",242,1859,84
"1663","maine,princeton",533,118,55
"1664","maine,prospect99.1% in",449,170,177
"1665","maine,randolph99.3% in",86,467,204
"1666","maine,rangeley",1472,294,18
"1667","maine,rangeley plt.99.3% in",818,57,182
"1668","maine,raymond",58,1589,172
"1669","maine,readfield99.7% in",1056,943,57
"1670","maine,reed plt.",195,23,177
"1671","maine,richmond99.3% in",221,934,119
"1672","maine,ripley",1363,100,52
"1673","maine,robbinston",776,128,120
"1674","maine,rockland",350,2493,92
"1675","maine,rockport",80,1694,648
"1676","maine,rome",147,340,162
"1677","maine,roque bluffs",1502,101,618
"1678","maine,roxbury",1765,89,30
"1679","maine,rumford",4497,1275,108
"1680","maine,sabattus99.7% in",334,1034,52
"1681","maine,saco",833,7794,66
"1682","maine,saint agatha99.8% in",121,292,416
"1683","maine,st. albans",663,321,14
"1684","maine,st. francis",104,121,983
"1685","maine,st. george99.2% in",36,1108,81
"1686","maine,st. john plt.",5182,63,692
"1687","maine,sandy river plt.99% in",479,65,77
"1688","maine,sanford",5217,5392,84
"1689","maine,sangerville",481,255,56
"1690","maine,scarborough99.9% in",721,9487,30
"1691","maine,searsmont",719,430,65
"1692","maine,searsport",305,843,31
"1693","maine,sebago",19,529,100
"1694","maine,sebec",321,117,80
"1695","maine,seboeis plt.",1034,22,96
"1696","maine,sedgwick",497,511,201
"1697","maine,shapleigh",96,704,208
"1698","maine,sherman",1688,157,36
"1699","maine,shirley",2215,34,30
"1700","maine,sidney",342,1184,51
"1701","maine,skowhegan",111,1876,182
"1702","maine,smithfield98.6% in",365,269,58
"1703","maine,smyrna",213,46,270
"1704","maine,solon99.7% in",94,243,620
"1705","maine,somerville99.7% in",1734,131,45
"1706","maine,sorrento",261,89,705
"1707","maine,south berwick",173,2748,59
"1708","maine,south bristol99.6% in",3783,429,44
"1709","maine,southport99.2% in",403,306,143
"1710","maine,south portland",381,12075,9
"1711","maine,south thomaston",135,574,339
"1712","maine,southwest harbor",169,728,31
"1713","maine,springfield",3078,26,57
"1714","maine,stacyville",237,38,63
"1715","maine,standish99.8% in",524,2820,9
"1716","maine,starks",409,137,76
"1717","maine,stetson99.7% in",86,217,8
"1718","maine,steuben",508,245,32
"1719","maine,stockholm98.8% in",102,70,27
"1720","maine,stockton springs",220,529,75
"1721","maine,stoneham",121,83,89
"1722","maine,stonington99.8% in",526,409,41
"1723","maine,stow99.6% in",348,126,93
"1724","maine,strong",324,266,24
"1725","maine,sullivan",464,354,57
"1726","maine,sumner99.6% in",129,206,28
"1727","maine,surry99.3% in",454,596,6
"1728","maine,swan's island",108,132,90
"1729","maine,swanville99.9% in",18,339,28
"1730","maine,sweden",155,165,50
"1731","maine,talmadge",18,13,202
"1732","maine,temple",664,172,35
"1733","maine,the forks plt.97.4% in",211,18,484
"1734","maine,thomaston",100,960,95
"1735","maine,thorndike",2390,228,138
"1736","maine,topsfield",422,24,80
"1737","maine,topsham",451,3944,244
"1738","maine,tremont",340,590,84
"1739","maine,trenton99.8% in",2052,509,98
"1740","maine,troy",786,233,4
"1741","maine,turner",455,1288,81
"1742","maine,union",47,726,21
"1743","maine,unity",415,444,183
"1744","maine,upton",65,16,147
"1745","maine,van buren",1394,471,24
"1746","maine,vanceboro",525,28,39
"1747","maine,vassalboro",182,1075,55
"1748","maine,veazie",208,646,42
"1749","maine,verona",287,158,75
"1750","maine,vienna",79,186,38
"1751","maine,vinalhaven",33,531,135
"1752","maine,wade97.9% in",261,53,47
"1753","maine,waite",1568,18,81
"1754","maine,waldo85.2% in",616,227,45
"1755","maine,waldoboro",134,1294,156
"1756","maine,wales",159,275,211
"1757","maine,wallagrass99.7% in",1259,153,84
"1758","maine,waltham",518,68,519
"1759","maine,warren",540,919,83
"1760","maine,washburn",2471,278,486
"1761","maine,washington",557,415,79
"1762","maine,waterboro99.9% in",2627,1861,7
"1763","maine,waterford",343,452,176
"1764","maine,waterville",33,5019,44
"1765","maine,wayne99.7% in",144,506,333
"1766","maine,webster plt.",67,9,372
"1767","maine,weld98.7% in",3333,149,68
"1768","maine,wellington",45,50,546
"1769","maine,wells",629,4465,51
"1770","maine,wesley97.4% in",3591,27,8
"1771","maine,west bath99.5% in",174,737,130
"1772","maine,westbrook",30,7274,42
"1773","maine,westfield99.6% in",1317,92,18
"1774","maine,west forks plt.98.1% in",24,21,108
"1775","maine,west gardiner",125,1000,42
"1776","maine,westmanland",552,30,70
"1777","maine,weston",231,55,62
"1778","maine,west paris",753,372,61
"1779","maine,westport",205,303,389
"1780","maine,whitefield99.9% in",70,688,236
"1781","maine,whiting98.9% in",70,147,690
"1782","maine,whitneyville",1117,55,265
"1783","maine,willimantic",5280,20,2
"1784","maine,wilton",899,978,311
"1785","maine,windham",145,5782,21
"1786","maine,windsor99.8% in",2360,477,279
"1787","maine,winn",179,60,95
"1788","maine,winslow",1245,2184,216
"1789","maine,winter harbor",72,145,207
"1790","maine,winterport",1649,1034,48
"1791","maine,winterville plt.",1112,49,168
"1792","maine,winthrop99.6% in",409,1963,132
"1793","maine,wiscasset99.6% in",534,1114,246
"1794","maine,woodland99.7% in",116,239,237
"1795","maine,woodstock",1062,368,405
"1796","maine,woodville",1439,19,3
"1797","maine,woolwich99.9% in",3352,1035,15
"1798","maine,yarmouth98.6% in",19,4785,0
"1799","maine,york99.8% in",66,6117,36
"1800","maine,frye island",150,38,529565
"1801","maine,chebeague island",17,255,337256
"1802","maine,aroostook cty townships",7,141,325939
"1803","maine,franklin cty townships",159,31,396604
"1804","maine,hancock cty townships",348,6,14461
"1805","maine,oxford cty townships",61,152,13592
"1806","maine,penobscot cty townships",173,150,9245
"1807","maine,piscataquis cty townshps",21,26,7182
"1808","maine,somerset cty townships",7,63,1372
"1809","maine,washington cty townships",35,9,1153
"1810","maine,me electoral vote district 1",20,288,798
"1811","maine,me electoral vote district 2",21,930,536
"1812","maryland,allegany",20886,9158,597
"1813","maryland,anne arundel",127821,172823,8973
"1814","maryland,baltimore",146202,258409,10321
"1815","maryland,baltimore city",25374,207260,4827
"1816","maryland,calvert",25346,22587,1179
"1817","maryland,caroline",10283,5095,416
"1818","maryland,carroll",60218,36456,3653
"1819","maryland,cecil",29439,16809,1214
"1820","maryland,charles",25579,62171,1748
"1821","maryland,dorchester",8764,6857,356
"1822","maryland,frederick",63682,77675,4258
"1823","maryland,garrett",12002,3281,328
"1824","maryland,harford",80930,63095,4161
"1825","maryland,howard",48390,129433,5239
"1826","maryland,kent",5195,5329,270
"1827","maryland,montgomery",101222,419569,12952
"1828","maryland,prince george's",37090,379208,8557
"1829","maryland,queen anne's",18741,10709,840
"1830","maryland,st. mary's",30826,23138,1701
"1831","maryland,somerset",5739,4241,167
"1832","maryland,talbot",10946,11062,547
"1833","maryland,washington",40224,26044,1511
"1834","maryland,wicomico",22944,22054,1218
"1835","maryland,worcester",18571,12560,560
"1836","massachusetts,abington",4236,5209,215
"1837","massachusetts,acton",2471,11105,351
"1838","massachusetts,acushnet",3290,2664,114
"1839","massachusetts,adams",1428,2894,119
"1840","massachusetts,agawam",8073,7794,318
"1841","massachusetts,alford98.5% in",50,271,4
"1842","massachusetts,amesbury",3326,6786,283
"1843","massachusetts,amherst",873,10718,280
"1844","massachusetts,andover",6693,14503,547
"1845","massachusetts,arlington",4381,23671,499
"1846","massachusetts,ashburnham",1667,2030,130
"1847","massachusetts,ashby",1008,956,59
"1848","massachusetts,ashfield",180,993,45
"1849","massachusetts,ashland",2936,7308,200
"1850","massachusetts,athol",2579,2705,218
"1851","massachusetts,attleboro",9272,13661,622
"1852","massachusetts,auburn",4306,5620,275
"1853","massachusetts,avon",1030,1601,66
"1854","massachusetts,ayer",1537,2932,156
"1855","massachusetts,barnstable",11436,16491,500
"1856","massachusetts,barre",1523,1535,99
"1857","massachusetts,becket",413,757,25
"1858","massachusetts,bedford",2180,6452,227
"1859","massachusetts,belchertown",3481,5893,235
"1860","massachusetts,bellingham",4402,5211,276
"1861","massachusetts,belmont",2956,11999,401
"1862","massachusetts,berkley",2251,1764,98
"1863","massachusetts,berlin",816,1375,74
"1864","massachusetts,bernardston",423,916,36
"1865","massachusetts,beverly",7205,16703,542
"1866","massachusetts,billerica",10731,13328,585
"1867","massachusetts,blackstone",2560,2450,125
"1868","massachusetts,blandford",454,307,14
"1869","massachusetts,bolton",1140,2529,93
